,start_year,end_year,parties_involved,title,description,Country,conflict_range
112,2013,2013,Philippines; Moro National Liberation Front (MNLF),Zamboanga City Crisis,"An armed conflict in Zamboanga City where MNLF forces attempted to declare independence, leading to a standoff with government forces and significant civilian displacement.",Moro National Liberation Front (MNLF),2013 - 2013
113,2014,2014,"Iraq; ISIS, Kurdish Peshmerga, international coalition",Northern Iraq Offensive,"A major offensive by ISIS capturing key cities, prompting international military intervention and leading to widespread displacement and humanitarian issues.",Iraq,2014 - 2014
113,2014,2014,"Iraq; ISIS, Kurdish Peshmerga, international coalition",Northern Iraq Offensive,"A major offensive by ISIS capturing key cities, prompting international military intervention and leading to widespread displacement and humanitarian issues.","ISIS, Kurdish Peshmerga, international coalition",2014 - 2014
114,2005,2024,Iran; Kurdistan Free Life Party (PJAK),Iran–PJAK Conflict,"An ongoing insurgency in northwestern Iran involving Kurdish militant groups seeking greater autonomy, leading to periodic clashes with Iranian security forces.",Iran,2005 - 2024
114,2005,2024,Iran; Kurdistan Free Life Party (PJAK),Iran–PJAK Conflict,"An ongoing insurgency in northwestern Iran involving Kurdish militant groups seeking greater autonomy, leading to periodic clashes with Iranian security forces.",Kurdistan Free Life Party (PJAK),2005 - 2024
115,2014,2024,Iran; Kurdish insurgents,Western Iran Clashes,"Renewed hostilities between Iranian forces and Kurdish insurgent groups in western Iran, resulting in sporadic violence and military operations.",Iran,2014 - 2024
115,2014,2024,Iran; Kurdish insurgents,Western Iran Clashes,"Renewed hostilities between Iranian forces and Kurdish insurgent groups in western Iran, resulting in sporadic violence and military operations.",Kurdish insurgents,2014 - 2024
116,2005,2005,Iraq; Al-Qaeda in Iraq,Battle of Al Qaim,"A military operation targeting insurgent strongholds in Al Qaim, Iraq, aiming to disrupt militant activities and restore government control",Iraq,2005 - 2005
116,2005,2005,Iraq; Al-Qaeda in Iraq,Battle of Al Qaim,"A military operation targeting insurgent strongholds in Al Qaim, Iraq, aiming to disrupt militant activities and restore government control",Al-Qaeda in Iraq,2005 - 2005
117,2005,2005,Iraq; Insurgent groups,Battle of Haditha,"A confrontation between U.S. forces and insurgents in Haditha, Iraq, focusing on eliminating militant presence in the area.",Iraq,2005 - 2005
117,2005,2005,Iraq; Insurgent groups,Battle of Haditha,"A confrontation between U.S. forces and insurgents in Haditha, Iraq, focusing on eliminating militant presence in the area.",Insurgent groups,2005 - 2005
118,2005,2005,Iraq; Insurgent groups,Battle of Tal Afar,"A significant military offensive to retake the city of Tal Afar from insurgent control, involving extensive urban combat.",Iraq,2005 - 2005
118,2005,2005,Iraq; Insurgent groups,Battle of Tal Afar,"A significant military offensive to retake the city of Tal Afar from insurgent control, involving extensive urban combat.",Insurgent groups,2005 - 2005
119,2006,2006,Iraq; Insurgent groups,Battle of Ramadi,"A prolonged battle aimed at securing the city of Ramadi from insurgent forces, involving coalition and Iraqi troops.",Iraq,2006 - 2006
119,2006,2006,Iraq; Insurgent groups,Battle of Ramadi,"A prolonged battle aimed at securing the city of Ramadi from insurgent forces, involving coalition and Iraqi troops.",Insurgent groups,2006 - 2006
120,2004,2024,Pakistan; Tehrik-i-Taliban Pakistan (TTP),War in North-West Pakistan,"An armed conflict between Pakistani military forces and various militant groups in the northwestern regions, including the TTP.",Pakistan,2004 - 2024
120,2004,2024,Pakistan; Tehrik-i-Taliban Pakistan (TTP),War in North-West Pakistan,"An armed conflict between Pakistani military forces and various militant groups in the northwestern regions, including the TTP.",Tehrik-i-Taliban Pakistan (TTP),2004 - 2024
121,2004,2024,India; Naxalite-Maoist insurgents,Naxalite Insurgency,"An ongoing conflict involving Maoist rebel groups seeking to overthrow the Indian government, primarily active in eastern and central India.",India,2004 - 2024
121,2004,2024,India; Naxalite-Maoist insurgents,Naxalite Insurgency,"An ongoing conflict involving Maoist rebel groups seeking to overthrow the Indian government, primarily active in eastern and central India.",Naxalite-Maoist insurgents,2004 - 2024
122,2005,2005,Iran; Arab separatists,Ahvaz Unrest,"A series of violent protests and bombings in Ahvaz, Iran, by Arab separatist groups demanding greater autonomy.",Iran,2005 - 2005
122,2005,2005,Iran; Arab separatists,Ahvaz Unrest,"A series of violent protests and bombings in Ahvaz, Iran, by Arab separatist groups demanding greater autonomy.",Arab separatists,2005 - 2005
123,2014,2024,"Yemen; Houthi rebels, Saudi-led coalition",Yemeni Civil War,"A multifaceted conflict involving the Yemeni government, Houthi rebels, and a Saudi-led coalition, leading to a severe humanitarian crisis",Yemen,2014 - 2024
123,2014,2024,"Yemen; Houthi rebels, Saudi-led coalition",Yemeni Civil War,"A multifaceted conflict involving the Yemeni government, Houthi rebels, and a Saudi-led coalition, leading to a severe humanitarian crisis","Houthi rebels, Saudi-led coalition",2014 - 2024
124,2017,2024,"Myanmar; Arakan Rohingya Salvation Army (ARSA), military forces",Rohingya Conflict,"Armed clashes between Myanmar's military and ARSA, resulting in widespread displacement and allegations of human rights abuses against the Rohingya Muslim minority.",Myanmar,2017 - 2024
124,2017,2024,"Myanmar; Arakan Rohingya Salvation Army (ARSA), military forces",Rohingya Conflict,"Armed clashes between Myanmar's military and ARSA, resulting in widespread displacement and allegations of human rights abuses against the Rohingya Muslim minority.","Arakan Rohingya Salvation Army (ARSA), military forces",2017 - 2024
125,2015,2024,Turkey; Kurdistan Workers' Party (PKK),Kurdish–Turkish Conflict,"Renewed hostilities between Turkish forces and the PKK, marked by military operations and insurgent attacks, primarily in southeastern Turkey.",Turkey,2015 - 2024
125,2015,2024,Turkey; Kurdistan Workers' Party (PKK),Kurdish–Turkish Conflict,"Renewed hostilities between Turkish forces and the PKK, marked by military operations and insurgent attacks, primarily in southeastern Turkey.",Kurdistan Workers' Party (PKK),2015 - 2024
126,2016,2024,"Philippines; Abu Sayyaf, Maute group",Philippine Insurgency,"Armed conflict involving Islamist militant groups in Mindanao, including the Battle of Marawi in 2017, resulting in significant casualties and displacement",Philippines,2016 - 2024
126,2016,2024,"Philippines; Abu Sayyaf, Maute group",Philippine Insurgency,"Armed conflict involving Islamist militant groups in Mindanao, including the Battle of Marawi in 2017, resulting in significant casualties and displacement","Abu Sayyaf, Maute group",2016 - 2024
127,2019,2024,India; various insurgent groups,Insurgency in Northeast India,Ongoing conflicts involving multiple ethnic insurgent groups seeking autonomy or independence in India's northeastern states.,India,2019 - 2024
127,2019,2024,India; various insurgent groups,Insurgency in Northeast India,Ongoing conflicts involving multiple ethnic insurgent groups seeking autonomy or independence in India's northeastern states.,various insurgent groups,2019 - 2024
128,2020,2020,Armenia; Azerbaijan,Second Nagorno-Karabakh War,"A 44-day war over the disputed Nagorno-Karabakh region, resulting in significant territorial changes and a Russian-brokered ceasefire.",Armenia,2020 - 2020
128,2020,2020,Armenia; Azerbaijan,Second Nagorno-Karabakh War,"A 44-day war over the disputed Nagorno-Karabakh region, resulting in significant territorial changes and a Russian-brokered ceasefire.",Azerbaijan,2020 - 2020
129,2021,2024,"Myanmar; National Unity Government (NUG), military junta",Myanmar Civil War,"Following a military coup, widespread protests escalated into armed conflict between the junta and pro-democracy forces, leading to significant casualties and displacement. ",Myanmar,2021 - 2024
129,2021,2024,"Myanmar; National Unity Government (NUG), military junta",Myanmar Civil War,"Following a military coup, widespread protests escalated into armed conflict between the junta and pro-democracy forces, leading to significant casualties and displacement. ","National Unity Government (NUG), military junta",2021 - 2024
130,2022,2024,Kyrgyzstan; Tajikistan,Kyrgyzstan–Tajikistan Clashes,"Border conflicts between Kyrgyzstan and Tajikistan over disputed territories, resulting in military engagements and civilian casualties.",Kyrgyzstan,2022 - 2024
130,2022,2024,Kyrgyzstan; Tajikistan,Kyrgyzstan–Tajikistan Clashes,"Border conflicts between Kyrgyzstan and Tajikistan over disputed territories, resulting in military engagements and civilian casualties.",Tajikistan,2022 - 2024
131,2023,2024,"Israel; Hamas, Hezbollah",Israel–Hamas Conflict,"Escalation of hostilities between Israel and Palestinian militant groups, leading to significant casualties and regional tensions.",Israel,2023 - 2024
131,2023,2024,"Israel; Hamas, Hezbollah",Israel–Hamas Conflict,"Escalation of hostilities between Israel and Palestinian militant groups, leading to significant casualties and regional tensions.","Hamas, Hezbollah",2023 - 2024
132,2014,2024,"China; Philippines, Vietnam, Malaysia, Brunei, Taiwan",South China Sea Disputes,"Ongoing territorial disputes over the South China Sea, involving multiple Southeast Asian nations and China, leading to maritime confrontations and diplomatic tensions.",China,2014 - 2024
132,2014,2024,"China; Philippines, Vietnam, Malaysia, Brunei, Taiwan",South China Sea Disputes,"Ongoing territorial disputes over the South China Sea, involving multiple Southeast Asian nations and China, leading to maritime confrontations and diplomatic tensions.","Philippines, Vietnam, Malaysia, Brunei, Taiwan",2014 - 2024
133,2023,2024,India; Kuki-Zo communities,Manipur Conflict,"The Manipur conflict began on May 3, 2023, with ethnic violence between the Meitei and Kuki-Zo communities, leading to over 250 deaths and displacing more than 60,000 people.",India,2023 - 2024
133,2023,2024,India; Kuki-Zo communities,Manipur Conflict,"The Manipur conflict began on May 3, 2023, with ethnic violence between the Meitei and Kuki-Zo communities, leading to over 250 deaths and displacing more than 60,000 people.",Kuki-Zo communities,2023 - 2024
134,2021,2024,"Myanmar; National Unity Government (NUG), military junta",Myanmar Civil War,"Following a military coup, widespread protests escalated into armed conflict between the junta and pro-democracy forces, leading to significant casualties and displacement.",Myanmar,2021 - 2024
134,2021,2024,"Myanmar; National Unity Government (NUG), military junta",Myanmar Civil War,"Following a military coup, widespread protests escalated into armed conflict between the junta and pro-democracy forces, leading to significant casualties and displacement.","National Unity Government (NUG), military junta",2021 - 2024
135,2024,2024,China; Philippines,South China Sea Confrontations,"Maritime confrontations between China and the Philippines over disputed territories in the South China Sea, leading to increased regional tensions.",China,2024 - 2024
135,2024,2024,China; Philippines,South China Sea Confrontations,"Maritime confrontations between China and the Philippines over disputed territories in the South China Sea, leading to increased regional tensions.",Philippines,2024 - 2024
